Timestamp (s),Voltage (V)
0.000000,4.625868
0.000500,4.621223
0.001000,4.612093
0.001500,4.613855
0.002000,4.618981
0.002500,4.624106
0.003000,4.627470
0.003500,4.631794
0.004000,4.634757
0.004500,4.632755
0.005000,4.629151
0.005500,4.627390
0.006000,4.626909
0.006500,4.624747
0.007000,4.623065
0.007500,4.626028
0.008000,4.628190
0.008500,4.625868
0.009000,4.625948
0.009500,4.628270
0.010000,4.631474
0.010500,4.631714
0.011000,4.633796
0.011500,4.639242
0.012000,4.643086
0.012500,4.643407
0.013000,4.641725
0.013500,4.641164
0.014000,4.637160
0.014500,4.631874
0.015000,4.627710
0.015500,4.629872
0.016000,4.635238
0.016500,4.646209
0.017000,4.647411
0.017500,4.642125
0.018000,4.635798
0.018500,4.633796
0.019000,4.638521
0.019500,4.647171
0.020000,4.648692
0.020500,4.644287
0.021000,4.635478
0.021500,4.634918
0.022000,4.642526
0.022500,4.645969
0.023000,4.635959
0.023500,4.627470
0.024000,4.630753
0.024500,4.639803
0.025000,4.636199
0.025500,4.626268
0.026000,4.624506
0.026500,4.638041
0.027000,4.639562
0.027500,4.625548
0.028000,4.623385
0.028500,4.638762
0.029000,4.642526
0.029500,4.629552
0.030000,4.624186
0.030500,4.634277
0.031000,4.642606
0.031500,4.629472
0.032000,4.620662
0.032500,4.626348
0.033000,4.632195
0.033500,4.625788
0.034000,4.617859
0.034500,4.617459
0.035000,4.626108
0.035500,4.625147
0.036000,4.617459
0.036500,4.608650
0.037000,4.607048
0.037500,4.611373
0.038000,4.601202
0.038500,4.618740
0.039000,4.602723
0.039500,4.613775
0.040000,4.608970
0.040500,4.607528
0.041000,4.605126
0.041500,4.612974
0.042000,4.598159
0.042500,4.616738
0.043000,4.596957
0.043500,4.611052
0.044000,4.610171
0.044500,4.598479
0.045000,4.615377
0.045500,4.606648
0.046000,4.599039
0.046500,4.615457
0.047000,4.612013
0.047500,4.598719
0.048000,4.609210
0.048500,4.615377
0.049000,4.601842
0.049500,4.593674
0.050000,4.604565
0.050500,4.610652
0.051000,4.601842
0.051500,4.592473
0.052000,4.591752
0.052500,4.593273
0.053000,4.602083
0.053500,4.610412
0.054000,4.600801
0.054500,4.595676
0.055000,4.593193
0.055500,4.591351
0.056000,4.590070
0.056500,4.593353
0.057000,4.598639
0.057500,4.601442
0.058000,4.598479
0.058500,4.599600
0.059000,4.600401
0.059500,4.598799
0.060000,4.595596
0.060500,4.595516
0.061000,4.594715
0.061500,4.589189
0.062000,4.585265
0.062500,4.583023
0.063000,4.579178
0.063500,4.575094
0.064000,4.573092
0.064500,4.572772
0.065000,4.577977
0.065500,4.583183
0.066000,4.584144
0.066500,4.580139
0.067000,4.574453
0.067500,4.568767
0.068000,4.563802
0.068500,4.567006
0.069000,4.574373
0.069500,4.575895
0.070000,4.570049
0.070500,4.559558
0.071000,4.560038
0.071500,4.569889
0.072000,4.570369
0.072500,4.561239
0.073000,4.551469
0.073500,4.557876
0.074000,4.559958
0.074500,4.548426
0.075000,4.542419
0.075500,4.554833
0.076000,4.551870
0.076500,4.536013
0.077000,4.540898
0.077500,4.551229
0.078000,4.539376
0.078500,4.535372
0.079000,4.546824
0.079500,4.536253
0.080000,4.532169
0.080500,4.544261
0.081000,4.535532
0.081500,4.529286
0.082000,4.538736
0.082500,4.525842
0.083000,4.520236
0.083500,4.531928
0.084000,4.520396
0.084500,4.518394
0.085000,4.525201
0.085500,4.510546
0.086000,4.508464
0.086500,4.518314
0.087000,4.508143
0.087500,4.512067
0.088000,4.514150
0.088500,4.500135
0.089000,4.516792
0.089500,4.503658
0.090000,4.515511
0.090500,4.504059
0.091000,4.509024
0.091500,4.511907
0.092000,4.499814
0.092500,4.513108
0.093000,4.506782
0.093500,4.501656
0.094000,4.512388
0.094500,4.507022
0.095000,4.495890
0.095500,4.503498
0.096000,4.508704
0.096500,4.499574
0.097000,4.492447
0.097500,4.496211
0.098000,4.502057
0.098500,4.498213
0.099000,4.482836
0.099500,4.478031
0.100000,4.486120
0.100500,4.491566
0.101000,4.489403
0.101500,4.484198
0.102000,4.477230
0.102500,4.469382
0.103000,4.469943
0.103500,4.469783
0.104000,4.474187
0.104500,4.473947
0.105000,4.475388
0.105500,4.478912
0.106000,4.477791
0.106500,4.474908
0.107000,4.471865
0.107500,4.472425
0.108000,4.466819
0.108500,4.464337
0.109000,4.461854
0.109500,4.463376
0.110000,4.458010
0.110500,4.454086
0.111000,4.450802
0.111500,4.448400
0.112000,4.441593
0.112500,4.433424
0.113000,4.428138
0.113500,4.426296
0.114000,4.425576
0.114500,4.426537
0.115000,4.427898
0.115500,4.430701
0.116000,4.431342
0.116500,4.420450
0.117000,4.411321
0.117500,4.404513
0.118000,4.406435
0.118500,4.414924
0.119000,4.414204
0.119500,4.406996
0.120000,4.395224
0.120500,4.389297
0.121000,4.392821
0.121500,4.397226
0.122000,4.389537
0.122500,4.376083
0.123000,4.369676
0.123500,4.373521
0.124000,4.373921
0.124500,4.362709
0.125000,4.349895
0.125500,4.352138
0.126000,4.358465
0.126500,4.352939
0.127000,4.337082
0.127500,4.334599
0.128000,4.343729
0.128500,4.339645
0.129000,4.325309
0.129500,4.320264
0.130000,4.323147
0.130500,4.321225
0.131000,4.308171
0.131500,4.299362
0.132000,4.303606
0.132500,4.299923
0.133000,4.285267
0.133500,4.278220
0.134000,4.280142
0.134500,4.279821
0.135000,4.270932
0.135500,4.256356
0.136000,4.250190
0.136500,4.249069
0.137000,4.248588
0.137500,4.246426
0.138000,4.239138
0.138500,4.225924
0.139000,4.225524
0.139500,4.216554
0.140000,4.211108
0.140500,4.204622
0.141000,4.208786
0.141500,4.193089
0.142000,4.202459
0.142500,4.183079
0.143000,4.189726
0.143500,4.177553
0.144000,4.172347
0.144500,4.173789
0.145000,4.158893
0.145500,4.161936
0.146000,4.160335
0.146500,4.144478
0.147000,4.141755
0.147500,4.142556
0.148000,4.129983
0.148500,4.118851
0.149000,4.119732
0.149500,4.120613
0.150000,4.107158
0.150500,4.092823
0.151000,4.091622
0.151500,4.094825
0.152000,4.085616
0.152500,4.072722
0.153000,4.064313
0.153500,4.058787
0.154000,4.055263
0.154500,4.053742
0.155000,4.055023
0.155500,4.048857
0.156000,4.041249
0.156500,4.034522
0.157000,4.027554
0.157500,4.016262
0.158000,4.008494
0.158500,4.001927
0.159000,3.995120
0.159500,3.985750
0.160000,3.980304
0.160500,3.973096
0.161000,3.965569
0.161500,3.957400
0.162000,3.951634
0.162500,3.948510
0.163000,3.942424
0.163500,3.936097
0.164000,3.930652
0.164500,3.922643
0.165000,3.915355
0.165500,3.901421
0.166000,3.888687
0.166500,3.877956
0.167000,3.874272
0.167500,3.871389
0.168000,3.867545
0.168500,3.859536
0.169000,3.846242
0.169500,3.834870
0.170000,3.830225
0.170500,3.827422
0.171000,3.820295
0.171500,3.806200
0.172000,3.795148
0.172500,3.791464
0.173000,3.786659
0.173500,3.774566
0.174000,3.759270
0.174500,3.755026
0.175000,3.753664
0.175500,3.737567
0.176000,3.723392
0.176500,3.721630
0.177000,3.716185
0.177500,3.700007
0.178000,3.695923
0.178500,3.691599
0.179000,3.674220
0.179500,3.667813
0.180000,3.666372
0.180500,3.649714
0.181000,3.642266
0.181500,3.637381
0.182000,3.619522
0.182500,3.612795
0.183000,3.609271
0.183500,3.591733
0.184000,3.584926
0.184500,3.579400
0.185000,3.560980
0.185500,3.555535
0.186000,3.548007
0.186500,3.532710
0.187000,3.524141
0.187500,3.512049
0.188000,3.503800
0.188500,3.505161
0.189000,3.489705
0.189500,3.489865
0.190000,3.471205
0.190500,3.473688
0.191000,3.456069
0.191500,3.450143
0.192000,3.444297
0.192500,3.425157
0.193000,3.425157
0.193500,3.416988
0.194000,3.399850
0.194500,3.396406
0.195000,3.392162
0.195500,3.373983
0.196000,3.363091
0.196500,3.361009
0.197000,3.349397
0.197500,3.333780
0.198000,3.323770
0.198500,3.318724
0.199000,3.309514
0.199500,3.296300
0.200000,3.281645
0.200500,3.268751
0.201000,3.260342
0.201500,3.254016
0.202000,3.246888
0.202500,3.234395
0.203000,3.223103
0.203500,3.210930
0.204000,3.198918
0.204500,3.187866
0.205000,3.178496
0.205500,3.169526
0.206000,3.158795
0.206500,3.147583
0.207000,3.138133
0.207500,3.127882
0.208000,3.116350
0.208500,3.105299
0.209000,3.095368
0.209500,3.083275
0.210000,3.069260
0.210500,3.057648
0.211000,3.047317
0.211500,3.035625
0.212000,3.022891
0.212500,3.013041
0.213000,3.002150
0.213500,2.994061
0.214000,2.982929
0.214500,2.971237
0.215000,2.959705
0.215500,2.946651
0.216000,2.933757
0.216500,2.918301
0.217000,2.907329
0.217500,2.899641
0.218000,2.891072
0.218500,2.878499
0.219000,2.863443
0.219500,2.850229
0.220000,2.838857
0.220500,2.829327
0.221000,2.819877
0.221500,2.804421
0.222000,2.789445
0.222500,2.777112
0.223000,2.768302
0.223500,2.755729
0.224000,2.737790
0.224500,2.721133
0.225000,2.711282
0.225500,2.703354
0.226000,2.688618
0.226500,2.672361
0.227000,2.659307
0.227500,2.652580
0.228000,2.642810
0.228500,2.625271
0.229000,2.611176
0.229500,2.600845
0.230000,2.590915
0.230500,2.575539
0.231000,2.559282
0.231500,2.549912
0.232000,2.537098
0.232500,2.519880
0.233000,2.504824
0.233500,2.494974
0.234000,2.482400
0.234500,2.467985
0.235000,2.450767
0.235500,2.438674
0.236000,2.427622
0.236500,2.416170
0.237000,2.401515
0.237500,2.387580
0.238000,2.372044
0.238500,2.360592
0.239000,2.343133
0.239500,2.336166
0.240000,2.316545
0.240500,2.308216
0.241000,2.291959
0.241500,2.283230
0.242000,2.266733
0.242500,2.257523
0.243000,2.241986
0.243500,2.230454
0.244000,2.220284
0.244500,2.202905
0.245000,2.193776
0.245500,2.180321
0.246000,2.164545
0.246500,2.153813
0.247000,2.142121
0.247500,2.124983
0.248000,2.113691
0.248500,2.104241
0.249000,2.090306
0.249500,2.073809
0.250000,2.060835
0.250500,2.048903
0.251000,2.035849
0.251500,2.021914
0.252000,2.006298
0.252500,1.994685
0.253000,1.984675
0.253500,1.972502
0.254000,1.957366
0.254500,1.945513
0.255000,1.932700
0.255500,1.918925
0.256000,1.905952
0.256500,1.895220
0.257000,1.882567
0.257500,1.868712
0.258000,1.856860
0.258500,1.844367
0.259000,1.830672
0.259500,1.818019
0.260000,1.805285
0.260500,1.791831
0.261000,1.777976
0.261500,1.765483
0.262000,1.752109
0.262500,1.739776
0.263000,1.726242
0.263500,1.712067
0.264000,1.700214
0.264500,1.688122
0.265000,1.676189
0.265500,1.663215
0.266000,1.650242
0.266500,1.639190
0.267000,1.626617
0.267500,1.612762
0.268000,1.599949
0.268500,1.587295
0.269000,1.577365
0.269500,1.564952
0.270000,1.551577
0.270500,1.538043
0.271000,1.527072
0.271500,1.515139
0.272000,1.504167
0.272500,1.490073
0.273000,1.476698
0.273500,1.464766
0.274000,1.453554
0.274500,1.441141
0.275000,1.427046
0.275500,1.415834
0.276000,1.404622
0.276500,1.391248
0.277000,1.379476
0.277500,1.369225
0.278000,1.356572
0.278500,1.344078
0.279000,1.333587
0.279500,1.322616
0.280000,1.311484
0.280500,1.300833
0.281000,1.287699
0.281500,1.275206
0.282000,1.264955
0.282500,1.253663
0.283000,1.241730
0.283500,1.230839
0.284000,1.218666
0.284500,1.207374
0.285000,1.196723
0.285500,1.185591
0.286000,1.175100
0.286500,1.164529
0.287000,1.151715
0.287500,1.140584
0.288000,1.132815
0.288500,1.119602
0.289000,1.110472
0.289500,1.099260
0.290000,1.088769
0.290500,1.079639
0.291000,1.069308
0.291500,1.059458
0.292000,1.050328
0.292500,1.040078
0.293000,1.028465
0.293500,1.019736
0.294000,1.008765
0.294500,0.999955
0.295000,0.990185
0.295500,0.979854
0.296000,0.969683
0.296500,0.960393
0.297000,0.950623
0.297500,0.940693
0.298000,0.930842
0.298500,0.920752
0.299000,0.911222
0.299500,0.902492
0.300000,0.892802
0.300500,0.882311
0.301000,0.873502
0.301500,0.864132
0.302000,0.854682
0.302500,0.845873
0.303000,0.837143
0.303500,0.827854
0.304000,0.819044
0.304500,0.810155
0.305000,0.801105
0.305500,0.792296
0.306000,0.783647
0.306500,0.774998
0.307000,0.766589
0.307500,0.757379
0.308000,0.748650
0.308500,0.740642
0.309000,0.732713
0.309500,0.723824
0.310000,0.715095
0.310500,0.707406
0.311000,0.699158
0.311500,0.690669
0.312000,0.682420
0.312500,0.674572
0.313000,0.667044
0.313500,0.659676
0.314000,0.650947
0.314500,0.643579
0.315000,0.636211
0.315500,0.628443
0.316000,0.620275
0.316500,0.612666
0.317000,0.605139
0.317500,0.598251
0.318000,0.590964
0.318500,0.583836
0.319000,0.576388
0.319500,0.569821
0.320000,0.562694
0.320500,0.555806
0.321000,0.548439
0.321500,0.541231
0.322000,0.534504
0.322500,0.527376
0.323000,0.520649
0.323500,0.513522
0.324000,0.506635
0.324500,0.499667
0.325000,0.493581
0.325500,0.487334
0.326000,0.480367
0.326500,0.473880
0.327000,0.468274
0.327500,0.462268
0.328000,0.455781
0.328500,0.449294
0.329000,0.443848
0.329500,0.437842
0.330000,0.432316
0.330500,0.425829
0.331000,0.419182
0.331500,0.413656
0.332000,0.408131
0.332500,0.402204
0.333000,0.396759
0.333500,0.391153
0.334000,0.385307
0.334500,0.379861
0.335000,0.373854
0.335500,0.369129
0.336000,0.363524
0.336500,0.358078
0.337000,0.352792
0.337500,0.347907
0.338000,0.343022
0.338500,0.337896
0.339000,0.332691
0.339500,0.327726
0.340000,0.322520
0.340500,0.318196
0.341000,0.313711
0.341500,0.308986
0.342000,0.304581
0.342500,0.299536
0.343000,0.294971
0.343500,0.291047
0.344000,0.286242
0.344500,0.282318
0.345000,0.278073
0.345500,0.273268
0.346000,0.269184
0.346500,0.265340
0.347000,0.260775
0.347500,0.256931
0.348000,0.252847
0.348500,0.249083
0.349000,0.244758
0.349500,0.240914
0.350000,0.236990
0.350500,0.233386
