Channel 1	Channel 2
0.000000	4.625868
0.005005	4.621223
0.010010	4.612093
0.015015	4.613855
0.020020	4.618981
0.025025	4.624106
0.030030	4.627470
0.035035	4.631794
0.040040	4.634757
0.045045	4.632755
0.050050	4.629151
0.055055	4.627390
0.060060	4.626909
0.065065	4.624747
0.070070	4.623065
0.075075	4.626028
0.080080	4.628190
0.085085	4.625868
0.090090	4.625948
0.095095	4.628270
0.100100	4.631474
0.105105	4.631714
0.110110	4.633796
0.115115	4.639242
0.120120	4.643086
0.125125	4.643407
0.130130	4.641725
0.135135	4.641164
0.140140	4.637160
0.145145	4.631874
0.150150	4.627710
0.155155	4.629872
0.160160	4.635238
0.165165	4.646209
0.170170	4.647411
0.175175	4.642125
0.180180	4.635798
0.185185	4.633796
0.190190	4.638521
0.195195	4.647171
0.200200	4.648692
0.205205	4.644287
0.210210	4.635478
0.215215	4.634918
0.220220	4.642526
0.225225	4.645969
0.230230	4.635959
0.235235	4.627470
0.240240	4.630753
0.245245	4.639803
0.250250	4.636199
0.255255	4.626268
0.260260	4.624506
0.265265	4.638041
0.270270	4.639562
0.275275	4.625548
0.280280	4.623385
0.285285	4.638762
0.290290	4.642526
0.295295	4.629552
0.300300	4.624186
0.305305	4.634277
0.310310	4.642606
0.315315	4.629472
0.320320	4.620662
0.325325	4.626348
0.330330	4.632195
0.335335	4.625788
0.340340	4.617859
0.345345	4.617459
0.350350	4.626108
0.355355	4.625147
0.360360	4.617459
0.365365	4.608650
0.370370	4.607048
0.375375	4.611373
0.380380	4.601202
0.385385	4.618740
0.390390	4.602723
0.395395	4.613775
0.400400	4.608970
0.405405	4.607528
0.410410	4.605126
0.415415	4.612974
0.420420	4.598159
0.425425	4.616738
0.430430	4.596957
0.435435	4.611052
0.440440	4.610171
0.445445	4.598479
0.450450	4.615377
0.455455	4.606648
0.460460	4.599039
0.465465	4.615457
0.470470	4.612013
0.475475	4.598719
0.480480	4.609210
0.485485	4.615377
0.490490	4.601842
0.495495	4.593674
0.500501	4.604565
0.505506	4.610652
0.510511	4.601842
0.515516	4.592473
0.520521	4.591752
0.525526	4.593273
0.530531	4.602083
0.535536	4.610412
0.540541	4.600801
0.545546	4.595676
0.550551	4.593193
0.555556	4.591351
0.560561	4.590070
0.565566	4.593353
